,file,0_act,1_act,2_act,3_act,4_act,0_y,1_y,2_y,3_y,4_y,0_x,1_x,2_x,3_x,4_x
0,1224-23-e.png,7.523146152496338,7.184310436248779,7.281403541564941,6.708441734313965,6.995536804199219,335.0,333.0,375.0,370.0,328.0,266.0,245.0,279.0,223.0,172.0
1,1534-16-k.png,4.25935697555542,3.413551092147827,2.9611270427703857,3.0153448581695557,1.8606231212615967,340.0,326.0,377.0,354.0,352.0,309.0,288.0,301.0,258.0,245.0
2,1577-16-k.png,0.026639649644494057,0.015048124827444553,0.46138817071914673,0.45942214131355286,2.243274450302124,408.0,424.0,410.0,408.0,408.0,1096.0,279.0,314.0,254.0,249.0
3,1589-23-e.png,7.202757835388184,7.5139265060424805,8.466507911682129,9.082877159118652,8.15276050567627,314.0,316.0,354.0,352.0,312.0,279.0,254.0,288.0,236.0,215.0
4,1595-25-e.png,6.497433662414551,6.992659568786621,7.8433098793029785,7.4680023193359375,7.273767471313477,295.0,288.0,335.0,326.0,300.0,266.0,241.0,266.0,215.0,176.0
5,1778-20-k.png,0.6039994955062866,0.24485835433006287,0.06403838843107224,0.17242440581321716,3.401430130004883,326.0,319.0,405.0,356.0,347.0,296.0,275.0,327.0,232.0,236.0
6,181044-e.png,6.424092769622803,7.505795955657959,5.94957971572876,6.541865825653076,6.817958831787109,309.0,307.0,347.0,335.0,300.0,314.0,288.0,314.0,262.0,215.0
7,1826-44-k.png,7.0324883460998535,7.352755069732666,6.574261665344238,6.5854620933532715,7.86027193069458,328.0,321.0,366.0,347.0,312.0,292.0,266.0,288.0,241.0,193.0
8,1838-21-e.png,7.276913166046143,7.815217018127441,7.307063102722168,6.917442798614502,7.317549228668213,363.0,356.0,401.0,387.0,359.0,314.0,288.0,314.0,262.0,223.0
9,1936-27-e.png,5.707329273223877,5.3330793380737305,5.733773708343506,3.666753053665161,7.203535556793213,326.0,321.0,359.0,347.0,309.0,309.0,288.0,318.0,266.0,254.0
10,248784-e.png,6.345449924468994,6.727366924285889,7.108553409576416,6.048418045043945,8.191152572631836,345.0,335.0,384.0,366.0,330.0,296.0,275.0,292.0,245.0,206.0
11,276381-k.png,6.112791061401367,5.434825420379639,7.3225507736206055,5.459330081939697,7.532616138458252,347.0,340.0,389.0,370.0,335.0,284.0,262.0,279.0,236.0,193.0
12,285381-e.png,3.1027417182922363,3.4624996185302734,5.685381889343262,6.951382637023926,8.306838035583496,312.0,307.0,347.0,340.0,300.0,266.0,245.0,275.0,219.0,202.0
13,351888-e.png,5.411962509155273,5.40834379196167,6.625850677490234,5.364643096923828,4.701096057891846,295.0,286.0,340.0,328.0,279.0,296.0,271.0,296.0,241.0,219.0
14,364222-e.png,7.172389984130859,7.442442417144775,7.662517547607422,6.389106273651123,7.54535436630249,328.0,326.0,370.0,361.0,319.0,266.0,241.0,271.0,219.0,198.0
15,398327-e.png,7.222397804260254,7.155571460723877,7.181839942932129,6.624690055847168,6.662145137786865,340.0,338.0,380.0,380.0,335.0,266.0,245.0,279.0,223.0,176.0
16,449052-e.png,6.0465922355651855,6.551126480102539,7.49818754196167,6.152271270751953,4.456681728363037,330.0,326.0,370.0,359.0,333.0,254.0,228.0,254.0,206.0,163.0
17,472-e-20.png,7.4985246658325195,7.996639728546143,8.58689022064209,7.996808052062988,7.42368745803833,316.0,302.0,354.0,328.0,272.0,344.0,322.0,339.0,296.0,266.0
